D:\IMG\center_2020_09_12_16_43_10_597.jpg,D:\IMG\left_2020_09_12_16_43_10_597.jpg,D:\IMG\right_2020_09_12_16_43_10_597.jpg,0,0,0,3.078768
D:\IMG\center_2020_09_12_16_43_10_670.jpg,D:\IMG\left_2020_09_12_16_43_10_670.jpg,D:\IMG\right_2020_09_12_16_43_10_670.jpg,0,0,0,3.054026
D:\IMG\center_2020_09_12_16_43_10_737.jpg,D:\IMG\left_2020_09_12_16_43_10_737.jpg,D:\IMG\right_2020_09_12_16_43_10_737.jpg,0,0,0,3.0356
D:\IMG\center_2020_09_12_16_43_10_805.jpg,D:\IMG\left_2020_09_12_16_43_10_805.jpg,D:\IMG\right_2020_09_12_16_43_10_805.jpg,0,0,0,3.017285
D:\IMG\center_2020_09_12_16_43_10_875.jpg,D:\IMG\left_2020_09_12_16_43_10_875.jpg,D:\IMG\right_2020_09_12_16_43_10_875.jpg,0,0,0,2.993037
D:\IMG\center_2020_09_12_16_43_10_943.jpg,D:\IMG\left_2020_09_12_16_43_10_943.jpg,D:\IMG\right_2020_09_12_16_43_10_943.jpg,0,0,0,2.974979
D:\IMG\center_2020_09_12_16_43_11_011.jpg,D:\IMG\left_2020_09_12_16_43_11_011.jpg,D:\IMG\right_2020_09_12_16_43_11_011.jpg,0,0,0,2.951071
D:\IMG\center_2020_09_12_16_43_11_079.jpg,D:\IMG\left_2020_09_12_16_43_11_079.jpg,D:\IMG\right_2020_09_12_16_43_11_079.jpg,0,0,0,2.933266
D:\IMG\center_2020_09_12_16_43_11_154.jpg,D:\IMG\left_2020_09_12_16_43_11_154.jpg,D:\IMG\right_2020_09_12_16_43_11_154.jpg,0,0,0,2.909693
D:\IMG\center_2020_09_12_16_43_11_230.jpg,D:\IMG\left_2020_09_12_16_43_11_230.jpg,D:\IMG\right_2020_09_12_16_43_11_230.jpg,0,0,0,2.886309
D:\IMG\center_2020_09_12_16_43_11_310.jpg,D:\IMG\left_2020_09_12_16_43_11_310.jpg,D:\IMG\right_2020_09_12_16_43_11_310.jpg,0,0.1230456,0,2.926572
